customer_id,age,gender,region,customer_segment,tenure_months
100000,19,Female,South,Consumer,15
100001,55,Female,North,Consumer,58
100002,23,Female,East,Enterprise,49
100003,56,Male,South,Consumer,10
100004,31,Female,West,Enterprise,41
100005,56,Male,West,Business,55
100006,18,Female,South,Enterprise,59
100007,21,Male,North,Consumer,31
100008,43,Female,West,Enterprise,40
100009,60,Female,South,Enterprise,36
100010,47,Male,North,Consumer,53
100011,71,Male,North,Consumer,70
100012,27,Male,East,Consumer,63
100013,25,Male,North,Enterprise,52
100014,18,Female,North,Consumer,10
100015,34,Male,North,Enterprise,18
100016,39,Male,East,Consumer,1
100017,75,Male,East,Consumer,47
100018,69,Male,East,Consumer,53
100019,40,Female,East,Consumer,36
100020,34,Male,West,Consumer,25
100021,43,Female,South,Consumer,42
100022,47,Female,West,Enterprise,42
100023,33,Female,North,Business,6
100024,21,Male,North,Business,60
100025,67,Female,South,Business,36
100026,44,Female,East,Enterprise,9
100027,69,Male,West,Consumer,70
100028,73,Female,South,Consumer,18
100029,67,Male,North,Consumer,9
100030,67,Male,East,Consumer,15
100031,60,Female,North,Enterprise,55
100032,67,Female,West,Business,69
100033,31,Female,East,Business,63
100034,46,Male,North,Business,63
100035,38,Male,South,Consumer,25
100036,35,Male,North,Enterprise,17
100037,49,Male,North,Consumer,52
100038,54,Male,North,Consumer,40
100039,61,Male,East,Enterprise,10
100040,46,Male,West,Enterprise,37
100041,66,Male,West,Enterprise,6
100042,39,Female,West,Business,21
100043,58,Female,North,Consumer,64
100044,59,Male,West,Enterprise,16
100045,70,Male,East,Enterprise,35
100046,73,Male,South,Enterprise,42
100047,51,Female,North,Enterprise,13
100048,73,Male,North,Consumer,63
100049,41,Female,South,Consumer,46
100050,75,Female,East,Enterprise,2
100051,62,Female,North,Enterprise,38
100052,58,Male,North,Business,18
100053,69,Male,West,Consumer,44
100054,61,Female,West,Enterprise,48
100055,20,Female,West,Consumer,6
100056,35,Male,East,Consumer,53
100057,21,Female,South,Consumer,3
100058,69,Male,North,Enterprise,33
100059,46,Male,North,Enterprise,14
100060,75,Male,East,Enterprise,10
100061,70,Female,West,Business,44
100062,53,Male,East,Enterprise,17
100063,72,Female,North,Business,45
100064,54,Female,North,Consumer,19
100065,35,Female,West,Business,11
100066,18,Male,East,Consumer,8
100067,19,Female,North,Business,56
100068,45,Female,North,Business,32
100069,56,Male,North,Consumer,23
100070,68,Female,North,Business,39
100071,50,Male,North,Business,61
100072,41,Female,West,Business,47
100073,26,Male,East,Enterprise,51
100074,30,Male,South,Consumer,63
100075,44,Female,South,Business,6
100076,44,Male,South,Enterprise,68
100077,32,Female,East,Consumer,12
100078,36,Female,South,Enterprise,5
100079,58,Female,North,Consumer,54
100080,41,Male,North,Business,68
100081,70,Male,West,Enterprise,44
100082,48,Female,North,Enterprise,70
100083,69,Male,West,Consumer,35
100084,46,Male,East,Enterprise,45
100085,42,Male,South,Enterprise,47
100086,51,Female,North,Business,64
100087,53,Female,East,Consumer,9
100088,47,Male,North,Consumer,48
100089,67,Male,West,Enterprise,24
100090,58,Female,South,Enterprise,26
100091,57,Male,West,Enterprise,54
100092,31,Female,South,Business,60
100093,24,Male,East,Business,19
100094,19,Male,West,Enterprise,64
100095,41,Male,West,Consumer,52
100096,41,Male,South,Enterprise,72
100097,50,Female,East,Business,44
100098,27,Male,North,Enterprise,49
100099,51,Female,East,Consumer,62
100100,38,Female,East,Enterprise,63
