customer_id,churn
100000,Yes
100001,Yes
100002,No
100003,No
100004,No
100005,Yes
100006,Yes
100007,Yes
100008,Yes
100009,No
100010,No
100011,Yes
100012,Yes
100013,No
100014,Yes
100015,No
100016,No
100017,Yes
100018,No
100019,No
100020,No
100021,No
100022,No
100023,No
100024,Yes
100025,Yes
100026,Yes
100027,No
100028,No
100029,No
100030,No
100031,Yes
100032,Yes
100033,No
100034,No
100035,No
100036,No
100037,Yes
100038,No
100039,No
100040,No
100041,Yes
100042,No
100043,No
100044,No
100045,No
100046,No
100047,No
100048,No
100049,No
100050,No
100051,No
100052,No
100053,No
100054,Yes
100055,Yes
100056,No
100057,No
100058,No
100059,No
100060,No
100061,No
100062,No
100063,No
100064,Yes
100065,Yes
100066,Yes
100067,No
100068,Yes
100069,Yes
100070,No
100071,Yes
100072,No
100073,No
100074,No
100075,No
100076,No
100077,No
100078,No
100079,No
100080,No
100081,Yes
100082,No
100083,Yes
100084,No
100085,No
100086,Yes
100087,No
100088,No
100089,No
100090,No
100091,Yes
100092,No
100093,No
100094,No
100095,No
100096,No
100097,No
100098,Yes
100099,No
100100,Yes
100101,No
100102,No
100103,No
100104,Yes
100105,No
100106,No
100107,No
100108,Yes
100109,No
100110,No
100111,No
100112,Yes
100113,Yes
100114,No
100115,Yes
100116,Yes
100117,No
100118,Yes
100119,No
100120,No
100121,Yes
100122,Yes
100123,No
100124,Yes
100125,No
100126,Yes
100127,No
100128,No
100129,No
100130,Yes
100131,No
100132,No
100133,No
100134,Yes
100135,Yes
100136,Yes
100137,No
100138,No
100139,No
100140,No
100141,No
100142,Yes
100143,Yes
100144,No
100145,Yes
100146,Yes
100147,No
100148,No
100149,Yes
100150,No
100151,No
100152,Yes
100153,No
100154,No
100155,No
100156,No
100157,No
100158,Yes
100159,No
100160,Yes
100161,No
100162,No
100163,No
100164,No
100165,Yes
100166,Yes
100167,No
100168,Yes
100169,No
100170,No
100171,Yes
100172,No
100173,No
100174,Yes
100175,Yes
100176,No
100177,No
100178,No
100179,No
100180,No
100181,Yes
100182,Yes
100183,Yes
100184,No
100185,Yes
100186,No
100187,No
100188,Yes
100189,Yes
100190,No
100191,No
100192,Yes
100193,Yes
100194,Yes
100195,No
100196,No
100197,Yes
100198,Yes
100199,No
