customer_id,tickets,avg_resolution_hours,complaint_count,satisfaction_score
100000,10,71,3,4
100001,0,60,4,2
100002,5,47,1,5
100003,4,10,1,10
100004,0,16,1,3
100005,1,39,3,3
100006,0,16,2,5
100007,3,71,5,4
100008,5,11,4,4
100009,10,57,2,7
100010,7,72,0,1
100011,7,38,3,9
100012,1,10,5,4
100013,2,40,3,6
100014,10,72,2,2
100015,1,56,2,1
100016,6,18,0,5
100017,0,24,5,6
100018,6,44,2,2
100019,9,67,0,7
100020,8,41,5,7
100021,4,28,3,10
100022,3,27,1,1
100023,6,30,1,9
100024,7,59,2,4
100025,6,21,5,4
100026,4,51,3,9
100027,9,5,0,7
100028,8,8,2,4
100029,5,23,4,10
100030,9,7,2,9
100031,2,68,5,5
100032,0,65,2,3
100033,8,32,5,8
100034,4,34,1,2
100035,4,3,5,9
100036,4,63,0,2
100037,7,40,4,7
100038,4,38,5,8
100039,2,41,4,10
100040,10,4,5,5
100041,5,43,5,2
100042,0,26,4,6
100043,1,30,0,8
100044,4,55,2,9
100045,8,71,3,8
100046,8,44,0,8
100047,5,70,3,6
100048,0,43,0,5
100049,7,34,3,5
100050,3,50,4,6
100051,3,26,4,5
100052,2,34,3,5
100053,4,70,0,8
100054,10,54,0,3
100055,10,14,3,10
100056,1,60,0,4
100057,4,20,1,9
100058,7,59,2,9
100059,10,15,3,8
100060,6,59,1,7
100061,1,57,0,6
100062,10,63,1,2
100063,5,46,0,3
100064,2,22,4,1
100065,0,30,3,10
100066,1,52,5,1
100067,5,13,3,2
100068,1,20,2,4
100069,7,10,3,8
100070,7,26,2,10
100071,8,68,4,3
100072,1,20,2,5
100073,4,25,1,6
100074,9,23,5,8
100075,7,38,3,9
100076,7,67,1,7
100077,10,44,1,3
100078,4,17,0,4
100079,9,55,1,2
100080,2,7,2,9
100081,5,41,4,7
100082,7,65,2,9
100083,7,56,1,8
100084,2,10,1,6
100085,3,16,0,3
100086,1,42,5,6
100087,7,5,2,9
100088,2,72,5,10
100089,8,38,0,5
100090,0,35,5,4
100091,2,58,3,8
100092,1,36,3,4
100093,8,61,3,5
100094,6,19,2,6
100095,1,52,2,6
100096,2,52,4,5
100097,9,63,1,9
100098,8,28,4,6
100099,4,38,5,4
100100,0,38,5,2
100101,10,31,0,2
100102,4,9,0,10
100103,9,15,2,5
100104,2,53,3,9
100105,4,3,2,6
100106,2,60,5,10
100107,8,66,1,10
100108,9,9,4,8
100109,0,38,3,3
100110,3,2,0,5
100111,1,6,3,10
100112,4,20,5,9
100113,10,50,4,6
100114,6,33,2,4
100115,3,44,2,1
100116,8,65,3,2
100117,2,27,2,4
100118,2,71,5,1
100119,10,64,0,1
100120,3,69,2,6
100121,6,72,3,1
100122,10,37,4,10
100123,10,71,2,7
100124,6,25,5,10
100125,4,58,2,5
100126,6,12,5,9
100127,5,34,1,8
100128,7,42,1,7
100129,3,58,2,2
100130,5,70,4,2
100131,4,30,4,9
100132,4,45,3,4
100133,3,68,1,9
100134,3,37,5,2
100135,5,47,3,10
100136,2,64,5,9
100137,8,66,5,8
100138,9,65,4,9
100139,10,33,2,1
100140,3,9,4,6
100141,3,20,5,6
100142,7,64,2,10
100143,4,45,4,10
100144,10,40,1,5
100145,0,29,3,2
100146,4,19,3,3
100147,1,51,2,7
100148,4,8,1,8
100149,8,24,3,2
100150,10,70,4,10
100151,0,33,0,7
100152,5,18,5,5
100153,5,22,2,2
100154,5,36,0,10
100155,0,49,1,5
100156,8,46,5,1
100157,8,54,5,6
100158,5,59,2,4
100159,1,13,1,5
100160,7,15,1,2
100161,10,58,1,2
100162,7,21,0,10
100163,5,63,4,8
100164,10,32,2,9
100165,9,26,3,9
100166,0,4,1,10
100167,10,42,1,9
100168,10,15,3,3
100169,3,10,2,5
100170,7,11,0,5
100171,6,23,4,7
100172,0,48,0,7
100173,7,35,0,9
100174,9,31,4,1
100175,7,24,1,4
100176,4,68,3,1
100177,6,35,3,8
100178,5,40,2,5
100179,6,64,4,6
100180,5,27,2,6
100181,2,35,5,2
100182,2,24,4,1
100183,8,49,4,10
100184,9,53,5,6
100185,10,47,4,5
100186,5,49,2,10
100187,6,8,1,3
100188,2,22,3,2
100189,10,2,5,4
100190,5,64,2,4
100191,10,34,4,10
100192,6,14,5,9
100193,6,39,1,1
100194,10,31,3,5
100195,2,23,2,6
100196,2,15,3,10
100197,1,35,5,6
100198,10,22,4,8
100199,7,59,0,8
