customer_id,monthly_charges,total_charges,payment_method,outstanding_balance,contract_type
100000,38.14,492.6,Credit Card,11.43,One Year
100001,110.76,6392.13,UPI,14.53,Month-to-Month
100002,45.0,2118.91,UPI,98.31,One Year
100003,80.09,754.89,Bank Transfer,12.71,Two Year
100004,79.65,3218.63,UPI,19.21,Month-to-Month
100005,97.47,5354.46,Credit Card,0.0,Month-to-Month
100006,138.64,8253.86,Bank Transfer,58.88,Month-to-Month
100007,115.15,3632.85,Bank Transfer,75.58,Two Year
100008,78.69,3097.18,Credit Card,0.0,Month-to-Month
100009,37.2,1426.3,Debit Card,4.76,One Year
100010,72.34,3801.88,Bank Transfer,37.79,Two Year
100011,41.62,2910.53,Debit Card,66.29,Month-to-Month
100012,145.93,9209.43,UPI,69.61,One Year
100013,30.66,1625.79,UPI,38.63,One Year
100014,89.89,900.08,UPI,80.26,Month-to-Month
100015,91.92,1609.03,UPI,0.0,One Year
100016,116.36,126.7,Credit Card,93.51,Month-to-Month
100017,108.67,5140.88,Debit Card,82.29,Month-to-Month
100018,122.36,6406.7,Debit Card,32.7,Two Year
100019,34.99,1353.72,UPI,92.57,Month-to-Month
100020,87.59,2251.05,Bank Transfer,9.98,One Year
100021,74.66,3223.79,Bank Transfer,31.48,One Year
100022,47.78,2001.4,Bank Transfer,2.29,Two Year
100023,73.88,469.23,Debit Card,0.0,Month-to-Month
100024,37.33,2232.73,UPI,100.17,One Year
100025,77.18,2821.19,UPI,0.0,Month-to-Month
100026,80.57,637.58,Debit Card,63.79,Two Year
100027,55.48,3880.73,Debit Card,0.0,Month-to-Month
100028,53.82,934.23,UPI,22.75,Month-to-Month
100029,45.92,317.36,Bank Transfer,0.0,Month-to-Month
100030,95.23,1514.23,Debit Card,0.0,One Year
100031,104.18,5632.43,Debit Card,58.32,Month-to-Month
100032,127.35,8805.64,Bank Transfer,28.27,Month-to-Month
100033,56.36,3569.91,Credit Card,5.11,Two Year
100034,48.81,3113.39,UPI,0.0,Month-to-Month
100035,48.13,1200.09,UPI,28.23,One Year
100036,57.98,1074.48,Debit Card,25.02,One Year
100037,39.4,2061.37,Bank Transfer,23.78,Month-to-Month
100038,101.32,4005.73,Bank Transfer,27.28,Month-to-Month
100039,96.67,1027.48,Credit Card,34.03,Month-to-Month
100040,59.53,2183.11,Debit Card,0.0,Month-to-Month
100041,104.7,711.41,Debit Card,40.59,Month-to-Month
100042,106.14,2209.03,Credit Card,0.0,One Year
100043,54.72,3428.28,Debit Card,29.73,Month-to-Month
100044,57.94,968.12,Debit Card,49.67,Month-to-Month
100045,58.81,2075.74,Debit Card,16.3,Two Year
100046,69.79,3002.38,UPI,17.92,Month-to-Month
100047,38.74,577.81,Credit Card,0.0,Two Year
100048,102.05,6513.34,Credit Card,3.33,Two Year
100049,89.05,4109.49,Bank Transfer,27.34,One Year
100050,91.06,96.89,UPI,0.0,Two Year
100051,71.45,2616.72,Credit Card,0.0,Two Year
100052,122.52,2112.03,Bank Transfer,48.23,Month-to-Month
100053,38.3,1778.5,Debit Card,37.95,Two Year
100054,142.24,6749.19,Credit Card,0.0,Month-to-Month
100055,32.63,273.23,Debit Card,0.0,Month-to-Month
100056,77.64,4205.03,Credit Card,58.0,Two Year
100057,122.31,307.97,Bank Transfer,15.42,Two Year
100058,132.64,4303.48,Bank Transfer,13.95,Month-to-Month
100059,121.82,1778.88,Debit Card,16.22,One Year
100060,39.28,318.04,UPI,0.0,One Year
100061,114.85,5015.91,UPI,56.71,Month-to-Month
100062,35.89,580.85,Debit Card,63.19,One Year
100063,94.63,4319.79,Credit Card,0.0,Two Year
100064,116.33,2304.63,Bank Transfer,0.0,Month-to-Month
100065,98.92,1070.96,Credit Card,50.87,Month-to-Month
100066,119.76,1010.91,Credit Card,86.24,Month-to-Month
100067,94.85,5326.28,Debit Card,23.22,One Year
100068,133.17,4310.6,Bank Transfer,70.25,Month-to-Month
100069,143.67,3330.0,Debit Card,46.16,Month-to-Month
100070,85.95,3314.13,Credit Card,0.0,Month-to-Month
100071,33.46,2120.89,Credit Card,44.17,Month-to-Month
100072,120.68,5707.74,UPI,36.32,Month-to-Month
100073,68.97,3575.8,Credit Card,27.17,Two Year
100074,30.03,1960.78,Credit Card,0.0,Month-to-Month
100075,99.38,646.76,Bank Transfer,0.0,One Year
100076,37.99,2533.32,UPI,2.47,One Year
100077,73.94,866.57,Debit Card,13.75,Month-to-Month
100078,80.98,427.97,Credit Card,17.17,Two Year
100079,128.77,6953.55,Bank Transfer,95.88,One Year
100080,133.53,8988.75,UPI,19.83,Month-to-Month
100081,82.21,3553.7,Debit Card,27.24,Month-to-Month
100082,44.84,3110.19,UPI,9.58,One Year
100083,75.98,2758.32,UPI,90.93,Month-to-Month
100084,149.76,6694.11,Credit Card,70.77,Two Year
100085,78.49,3663.22,Credit Card,45.88,Month-to-Month
100086,120.75,7768.81,UPI,0.0,Month-to-Month
100087,112.54,1098.32,UPI,0.0,One Year
100088,60.21,2990.0,Debit Card,28.95,One Year
100089,138.39,3232.44,Bank Transfer,0.0,Month-to-Month
100090,59.37,1550.32,Bank Transfer,0.0,One Year
100091,90.93,4938.6,Bank Transfer,0.0,Month-to-Month
100092,131.99,7883.26,UPI,40.92,Two Year
100093,132.34,2498.09,Bank Transfer,16.74,Two Year
100094,79.44,5032.31,Credit Card,64.41,One Year
100095,94.14,4834.21,Credit Card,34.6,One Year
100096,86.19,6205.7,Bank Transfer,3.62,Month-to-Month
