customer_id,internet_package,voice_minutes,data_usage_gb,roaming_minutes,support_calls,streaming_service
100000,DSL,1002,84.0,258,9,Yes
100001,5G,1606,90.7,49,5,No
100002,DSL,1606,694.5,142,7,No
100003,Cable,279,550.8,117,0,No
100004,Fiber,1532,471.0,112,2,No
100005,5G,519,547.4,274,12,No
100006,Cable,2222,436.1,0,9,No
100007,Cable,1996,111.4,281,2,No
100008,Fiber,340,184.0,30,3,Yes
100009,Fiber,1987,202.0,208,3,Yes
100010,Fiber,801,120.7,142,7,Yes
100011,5G,724,722.9,194,0,No
100012,DSL,2225,407.3,80,0,Yes
100013,Cable,886,748.4,160,3,No
100014,Fiber,696,301.9,224,8,No
100015,Fiber,1131,170.8,258,7,No
100016,DSL,660,555.9,279,0,No
100017,Cable,683,779.3,121,2,Yes
100018,DSL,1300,373.6,116,3,Yes
100019,Cable,2493,40.2,222,5,No
100020,5G,1402,534.7,160,10,Yes
100021,5G,1282,496.3,207,8,Yes
100022,5G,1422,534.4,47,12,Yes
100023,Fiber,1049,400.6,75,10,Yes
100024,DSL,2117,494.0,218,8,No
100025,DSL,2262,262.6,41,2,Yes
100026,5G,2408,559.5,194,7,Yes
100027,Cable,1964,582.1,65,9,Yes
100028,Fiber,1776,604.1,129,1,No
100029,5G,518,384.1,288,3,No
100030,Fiber,1044,70.0,52,11,No
100031,Cable,1533,93.4,235,11,Yes
100032,5G,1048,706.5,237,9,No
100033,Cable,832,418.1,43,3,No
100034,5G,2304,346.1,169,5,No
100035,DSL,845,784.6,151,3,No
100036,Fiber,2010,234.6,225,5,Yes
100037,Cable,1754,103.6,115,12,No
100038,DSL,1895,12.1,240,4,Yes
100039,Fiber,660,440.2,136,2,Yes
100040,DSL,1370,712.6,128,0,Yes
100041,Cable,2064,511.5,46,7,No
100042,Cable,1705,265.4,263,0,No
100043,Cable,1030,105.9,81,4,Yes
100044,Fiber,1621,445.5,97,9,Yes
100045,5G,1879,693.6,275,7,No
100046,DSL,1631,651.0,77,7,Yes
100047,Fiber,1135,380.9,173,9,No
100048,Fiber,461,510.7,227,2,No
100049,DSL,1616,148.3,123,7,Yes
100050,Fiber,1287,207.6,101,6,No
100051,5G,2084,729.4,146,12,Yes
100052,5G,769,600.5,102,2,No
100053,Fiber,2332,774.1,187,1,No
100054,5G,956,269.1,32,10,No
100055,Cable,2262,303.1,214,9,Yes
100056,DSL,1519,722.3,31,6,No
100057,Fiber,1004,473.2,168,12,Yes
100058,Fiber,569,219.6,215,8,Yes
100059,Cable,177,518.2,31,7,No
100060,DSL,2120,243.0,220,1,Yes
100061,Fiber,675,305.7,242,1,Yes
100062,DSL,1329,775.0,180,1,Yes
100063,5G,1145,491.1,14,2,No
100064,Fiber,1326,134.4,166,12,Yes
100065,5G,504,282.7,145,10,No
100066,5G,1607,148.8,272,11,Yes
100067,Cable,1709,238.7,10,5,Yes
100068,DSL,844,429.2,178,5,Yes
100069,DSL,2362,548.1,165,10,No
100070,Fiber,419,519.3,259,6,No
